,name,uri,popularity,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
261,Killing Me,spotify:track:1E9OxtPYXVqFGKm8Q4eeVY,2,2022-09-02,0.714,0.873,11,-4.82,1,0.094,0.0755,0.0,0.106,0.829,107.947,1E9OxtPYXVqFGKm8Q4eeVY,175725,4
262,Don't Let Me,spotify:track:5Vnny8AlKRnPZ3wQNouf2T,62,2019-03-29,0.471,0.639,2,-5.908,1,0.0318,0.22,3.46e-05,0.0953,0.706,199.918,5Vnny8AlKRnPZ3wQNouf2T,183851,4
263,Homerun Hitter,spotify:track:5tHalhXKz1l1rCJAMzx0PG,32,2022-08-25,0.601,0.616,9,-7.893,1,0.0341,0.371,0.00294,0.102,0.503,117.029,5tHalhXKz1l1rCJAMzx0PG,272453,4
264,cold feet,spotify:track:16Q5CS1hO8nTybYOj4ibsP,18,2021-04-30,0.605,0.69,9,-4.881,1,0.0714,0.0105,2.37e-05,0.2,0.443,129.714,16Q5CS1hO8nTybYOj4ibsP,179250,4
265,My Eyes,spotify:track:34WAdNQOUeGjgFOZshew1e,49,2016-04-08,0.435,0.309,4,-8.337,1,0.0309,0.852,2.63e-05,0.113,0.0831,93.871,34WAdNQOUeGjgFOZshew1e,216600,3
266,Michelangelo,spotify:track:7BMPNl9f4ZJc7cYRx6mDEh,2,2020-12-13,0.548,0.32,4,-12.949,1,0.0257,0.789,2.85e-06,0.113,0.281,95.036,7BMPNl9f4ZJc7cYRx6mDEh,216059,4
267,I Don't Wanna Be Okay Without You,spotify:track:0sUu11545VikLoNFLscCYY,0,2016-12-20,0.52,0.319,5,-7.461,1,0.0291,0.399,2.52e-05,0.138,0.165,62.985,0sUu11545VikLoNFLscCYY,243797,4
268,Only One,spotify:track:0j35X8cTq543QDYLOyqB8W,55,2015-01-08,0.732,0.243,0,-6.023,1,0.0435,0.939,0.0,0.111,0.106,102.087,0j35X8cTq543QDYLOyqB8W,280227,4
269,Spit Me Out,spotify:track:3GiLY7PQEVa0lKtsB9A7c0,15,2022-08-26,0.527,0.846,7,-4.003,1,0.278,0.000594,0.0,0.518,0.841,197.995,3GiLY7PQEVa0lKtsB9A7c0,157576,4
270,Until I Found You - Piano Version,spotify:track:0ksNJsdHdHaTAbqVfTiVVm,31,2022-07-08,0.603,0.148,7,-10.449,1,0.0279,0.927,0.0,0.101,0.228,95.451,0ksNJsdHdHaTAbqVfTiVVm,184895,3
271,Because Of You,spotify:track:6nmukSDAmw3XtbGKGD8056,55,2022-08-19,0.401,0.163,4,-10.94,1,0.0319,0.932,0.0,0.119,0.303,130.273,6nmukSDAmw3XtbGKGD8056,231413,3
272,Easy On My Eyes,spotify:track:2E0Lr1ecydv5MjTYYM0WhN,52,2022-08-19,0.501,0.105,7,-13.042,1,0.041,0.948,0.0,0.0875,0.203,122.334,2E0Lr1ecydv5MjTYYM0WhN,238173,4
273,Please Don't Go Home Yet,spotify:track:3p8Kv8GcO4obTLPmsS459h,53,2022-08-19,0.602,0.131,0,-10.587,1,0.0324,0.85,0.0,0.0817,0.269,98.412,3p8Kv8GcO4obTLPmsS459h,214040,4
274,Mountain Peaks,spotify:track:3eNSC9m8CukWPWdef8znPg,53,2022-08-19,0.473,0.424,7,-8.144,1,0.0355,0.671,8.13e-06,0.336,0.297,118.073,3eNSC9m8CukWPWdef8znPg,208400,4
275,See The Light,spotify:track:5nsFJfYtAFZmL9PbtYKYcA,63,2022-08-19,0.728,0.796,4,-5.33,1,0.0461,0.162,9.28e-06,0.196,0.691,117.925,5nsFJfYtAFZmL9PbtYKYcA,180147,4
276,Tonight,spotify:track:03aXoiwsFCXxgYuoStgwJj,44,2022-08-19,0.484,0.942,7,-3.052,1,0.106,0.0022,0.0,0.356,0.448,157.014,03aXoiwsFCXxgYuoStgwJj,210667,4
277,best friends,spotify:track:2ZQLEuaDw9rxJ5u5YR0KEw,53,2021-12-17,0.932,0.462,5,-9.017,0,0.0964,0.514,0.0,0.14,0.829,116.045,2ZQLEuaDw9rxJ5u5YR0KEw,142663,4
278,sausalito,spotify:track:0vC9FoWDvGGguQj8csTwnQ,31,2022-06-22,0.522,0.646,1,-10.927,0,0.147,0.745,0.701,0.0942,0.358,160.014,0vC9FoWDvGGguQj8csTwnQ,170893,4
279,pop drop,spotify:track:3C0hiJcetPLt3aWF5HnNxy,24,2022-08-04,0.521,0.794,2,-6.395,1,0.0774,0.199,0.0,0.0902,0.617,200.11,3C0hiJcetPLt3aWF5HnNxy,117851,4
280,Last September,spotify:track:4wJoUeD4zsoZNmJA1EcjJk,28,2021-04-16,0.759,0.604,0,-5.988,1,0.0419,0.00784,1.36e-06,0.097,0.816,127.943,4wJoUeD4zsoZNmJA1EcjJk,140625,4
281,lunar light,spotify:track:0y8aYPljQm23BbtbAVXCV2,34,2020-10-01,0.503,0.581,2,-5.15,1,0.0257,0.251,0.0,0.455,0.166,79.024,0y8aYPljQm23BbtbAVXCV2,197442,4
282,Boy on TV,spotify:track:1Lg6tMzkjpK0gGST32yrgj,20,2021-10-22,0.691,0.494,9,-5.917,0,0.0329,0.493,2.73e-05,0.362,0.583,106.001,1Lg6tMzkjpK0gGST32yrgj,185131,4
283,Truth Is,spotify:track:5iYcWJdC0ClFVOI3YMYGII,42,2021-08-27,0.561,0.486,3,-7.661,0,0.0402,0.0975,0.0,0.338,0.418,96.067,5iYcWJdC0ClFVOI3YMYGII,213891,4
284,just like heaven,spotify:track:11xjDJ7i9BLd1AYMedwJQK,55,2022-04-27,0.456,0.25,9,-10.285,1,0.0298,0.985,0.00259,0.0926,0.17,129.524,11xjDJ7i9BLd1AYMedwJQK,204133,4
285,Bad Luck,spotify:track:05CRP83e1AD3kl6rP1r5aB,51,2021-09-17,0.624,0.346,11,-9.718,1,0.0631,0.635,0.0,0.115,0.241,143.439,05CRP83e1AD3kl6rP1r5aB,191726,4
286,I'm Not In Love,spotify:track:0fB64S7FNKUDQlyYXlacYi,8,2021-08-20,0.895,0.407,1,-8.331,1,0.109,0.37,0.0,0.0553,0.964,127.071,0fB64S7FNKUDQlyYXlacYi,97293,3
287,July (Later On),spotify:track:4aOn1poQUctDNYifxmgK61,7,2022-07-15,0.624,0.303,8,-9.455,0,0.0352,0.844,2.25e-05,0.162,0.775,173.912,4aOn1poQUctDNYifxmgK61,139655,4
288,Afterglow,spotify:track:2KKBlK4IZUdjlJ7F0WGzU6,61,2019-06-28,0.704,0.599,6,-7.349,1,0.0536,0.443,0.0,0.147,0.789,128.023,2KKBlK4IZUdjlJ7F0WGzU6,191008,4
289,Tireswing Song,spotify:track:64m3Jj7WwWchNmjLkTbpUY,30,2021-11-06,0.34,0.258,1,-9.122,1,0.0314,0.705,7.13e-06,0.254,0.231,160.743,64m3Jj7WwWchNmjLkTbpUY,234031,3
290,Know Me,spotify:track:5hbWlVXsuLvPe4hyTlvgMY,34,2018-10-18,0.545,0.648,9,-5.564,1,0.041,0.0104,1.12e-06,0.144,0.24,126.819,5hbWlVXsuLvPe4hyTlvgMY,226513,4
291,Julia,spotify:track:0LO7f7ZJg871B8hLTRzrfB,63,2018-03-02,0.566,0.412,5,-6.994,1,0.0267,0.681,0.017,0.0741,0.47,81.879,0LO7f7ZJg871B8hLTRzrfB,190453,4
292,Kayla,spotify:track:0p5xEJ10MMJEGTuwJbngbn,51,2021-07-09,0.41,0.256,8,-8.653,1,0.0284,0.845,6.31e-06,0.116,0.308,137.741,0p5xEJ10MMJEGTuwJbngbn,175200,4
293,Already Best Friends (feat. Chris Brown),spotify:track:4RKJRRd4VJfZWiqQTYsleE,68,2020-12-11,0.873,0.575,10,-7.284,0,0.0702,0.0891,0.0,0.108,0.872,103.005,4RKJRRd4VJfZWiqQTYsleE,197031,4
294,Back to Me,spotify:track:3XYlJ9DR49ci6MUl5ZeI9n,2,2022-07-11,0.542,0.264,10,-8.488,1,0.0333,0.912,0.0,0.105,0.0758,74.104,3XYlJ9DR49ci6MUl5ZeI9n,217134,4
295,Athena,spotify:track:7GgO1gxHBjmnMGTkv5RlKX,0,2022-07-14,0.569,0.785,0,-5.721,1,0.0456,0.329,0.0,0.384,0.441,118.01,7GgO1gxHBjmnMGTkv5RlKX,238848,4
296,shut up,spotify:track:65mPCrY32YMQlBnmWVrKNa,8,2019-03-15,0.821,0.448,9,-4.33,1,0.0468,0.296,3.26e-06,0.0683,0.45,105.006,65mPCrY32YMQlBnmWVrKNa,170364,4
297,123,spotify:track:0u6msjxXxXiuxLy23wYMDO,54,2022-07-29,0.781,0.722,11,-3.965,1,0.0849,0.19,0.0,0.294,0.648,92.006,0u6msjxXxXiuxLy23wYMDO,137852,4
298,Lead Me On,spotify:track:193bxBTqeBCowixGZRbuYf,49,2022-07-27,0.477,0.349,10,-6.943,1,0.0383,0.467,0.0,0.102,0.383,129.052,193bxBTqeBCowixGZRbuYf,178027,4
299,MEAN! (Remix) [with Noah Kahan],spotify:track:6a2XPlWUJgpexmHuObkgzD,16,2022-07-15,0.455,0.389,7,-9.323,1,0.255,0.901,0.0,0.0947,0.449,174.444,6a2XPlWUJgpexmHuObkgzD,143957,3
300,Step On Flowers,spotify:track:7156NTCsRSyw7A2si4sm5e,29,2022-07-15,0.607,0.404,0,-7.755,1,0.0451,0.778,1.49e-05,0.108,0.33,156.206,7156NTCsRSyw7A2si4sm5e,213214,4
301,Dirty Shoes,spotify:track:42kISFAmtqbSGebetGIpff,32,2020-10-15,0.756,0.529,2,-11.155,1,0.0375,0.405,0.0,0.132,0.366,129.151,42kISFAmtqbSGebetGIpff,195280,4
302,Hooped Earrings,spotify:track:4kdf8P7yjNbzbPDJfslLAD,39,2020-10-15,0.783,0.508,8,-9.002,1,0.0483,0.359,0.0,0.0792,0.573,104.796,4kdf8P7yjNbzbPDJfslLAD,166640,4
303,The Death Effect,spotify:track:2PURri0z453JoO9A0sxDmy,15,2022-04-19,0.775,0.556,2,-7.641,1,0.0443,0.365,9.07e-05,0.183,0.772,135.991,2PURri0z453JoO9A0sxDmy,208000,4
304,Canary Islands,spotify:track:7MuU7UbVaKyu4HkHBoHwrD,62,2021-01-28,0.577,0.683,1,-7.699,1,0.0523,0.028,0.00329,0.156,0.728,115.058,7MuU7UbVaKyu4HkHBoHwrD,204522,4
305,Pardon Senorita - Demo,spotify:track:1DDo8qcerSP1kFeKozq5w9,5,2022-07-22,0.738,0.366,0,-13.961,1,0.0314,0.228,0.0,0.194,0.732,114.971,1DDo8qcerSP1kFeKozq5w9,162783,4
306,You're Gonna Cry,spotify:track:0c99z8W7OHHf7dgzxBVAIg,37,2022-07-21,0.508,0.555,4,-4.901,1,0.0336,0.46,0.0,0.143,0.361,81.033,0c99z8W7OHHf7dgzxBVAIg,219259,4
307,Daft Pretty Boys,spotify:track:41d2Q6DHcM20OdzynkRtvf,59,2016-09-16,0.662,0.837,8,-5.015,1,0.0582,0.0623,0.0,0.0931,0.613,136.998,41d2Q6DHcM20OdzynkRtvf,187013,4
308,Put Me in the Ground (feat. Austin Sawyer),spotify:track:3tzlgaWjqZJX0fq2hiQW62,47,2017-09-29,0.57,0.368,0,-9.128,1,0.0329,0.0514,0.0,0.108,0.136,139.937,3tzlgaWjqZJX0fq2hiQW62,266668,4
309,downbad,spotify:track:6AvBCzO8LUh0MFLLoEDuBO,42,2022-07-20,0.635,0.558,1,-7.806,1,0.0588,0.591,0.000334,0.149,0.201,148.885,6AvBCzO8LUh0MFLLoEDuBO,153000,4
310,Dance With Me,spotify:track:529iNaaynnUTRchlVD3kp3,8,2022-07-15,0.478,0.857,0,-3.755,1,0.0388,0.0114,0.0,0.179,0.299,135.044,529iNaaynnUTRchlVD3kp3,212465,4
311,Baby Blue Shades,spotify:track:2bCFAFxw6uLRu3Mk1jF9E0,53,2022-01-28,0.712,0.74,7,-7.187,1,0.0424,0.00572,0.0,0.0834,0.532,120.065,2bCFAFxw6uLRu3Mk1jF9E0,220580,4
312,Take My Hand - Joshua Tree Version,spotify:track:0xJoHcmh9xy9rjKy0buDZR,0,2022-07-13,0.577,0.493,0,-9.235,1,0.0373,0.296,5.31e-06,0.09,0.0955,126.018,0xJoHcmh9xy9rjKy0buDZR,297882,4
313,BLENDER,spotify:track:2LBnpm1lEMkzD45ZGLmrQd,0,2022-07-13,0.67,0.665,8,-5.47,1,0.104,0.0293,2.19e-05,0.101,0.694,161.99,2LBnpm1lEMkzD45ZGLmrQd,147744,4
314,More Than Words,spotify:track:1gVgkQFOKa8Wc1HYsJtPdH,74,1990-01-01,0.626,0.134,6,-14.898,1,0.0298,0.467,0.0,0.113,0.239,91.893,1gVgkQFOKa8Wc1HYsJtPdH,334107,4
315,Chateau (Feel Alright),spotify:track:41mclLjggl2nmbYpRisKrh,17,2019-09-13,0.641,0.365,7,-11.763,1,0.027,0.43,8.23e-06,0.297,0.348,134.881,41mclLjggl2nmbYpRisKrh,272157,4
316,Young,spotify:track:19Su1geq98yWYTe5wXTgAR,28,2016-04-01,0.369,0.721,0,-5.607,1,0.0398,0.0413,0.000452,0.0861,0.132,141.09,19Su1geq98yWYTe5wXTgAR,340426,4
317,Off My Mind,spotify:track:7n6QMW76A5qgfn0Mb4aL7i,63,2021-10-22,0.574,0.664,0,-7.713,1,0.0334,0.305,2.29e-05,0.143,0.727,111.933,7n6QMW76A5qgfn0Mb4aL7i,213855,4
318,Music For a Sushi Restaurant,spotify:track:5LYMamLv12UPbemOaTPyeV,80,2022-05-20,0.72,0.715,11,-4.652,1,0.04,0.258,0.0568,0.107,0.357,107.041,5LYMamLv12UPbemOaTPyeV,193813,4
319,Late Night Talking,spotify:track:1qEmFfgcLObUfQm0j1W2CK,87,2022-05-20,0.714,0.728,10,-4.595,1,0.0468,0.298,0.0,0.106,0.901,114.996,1qEmFfgcLObUfQm0j1W2CK,177955,4
320,Grapejuice,spotify:track:4j6kId9QIqhoXvqHKgSKa0,75,2022-05-20,0.645,0.721,5,-4.394,1,0.0336,0.357,0.143,0.204,0.88,182.928,4j6kId9QIqhoXvqHKgSKa0,191959,4
321,Little Freak,spotify:track:3i058E8uxTsYqJ5NWZzqSj,78,2022-05-20,0.559,0.535,3,-7.723,1,0.039,0.719,0.000143,0.0954,0.402,141.96,3i058E8uxTsYqJ5NWZzqSj,202183,4
322,Matilda,spotify:track:6uvh0In7u1Xn4HgxOfAn8O,81,2022-05-20,0.507,0.294,2,-10.0,1,0.04,0.896,1.97e-05,0.0966,0.386,114.199,6uvh0In7u1Xn4HgxOfAn8O,245964,4
323,Cinema,spotify:track:35TyJIMR3xRouUuo2sjS6v,76,2022-05-20,0.829,0.644,9,-7.696,0,0.0427,0.354,0.0511,0.0944,0.896,105.993,35TyJIMR3xRouUuo2sjS6v,243508,4
324,Daydreaming,spotify:track:69w5X6uTrOaWM32IetSzvO,76,2022-05-20,0.707,0.811,4,-5.298,0,0.0304,0.311,0.0152,0.131,0.899,113.971,69w5X6uTrOaWM32IetSzvO,187342,4
325,Keep Driving,spotify:track:2NcQic8JxdjAlAHuNbOIRE,78,2022-05-20,0.721,0.479,9,-9.669,1,0.226,0.321,0.00156,0.182,0.902,164.948,2NcQic8JxdjAlAHuNbOIRE,140242,3
326,Satellite,spotify:track:0rzaRSujxA0bKyjJl6vHYq,80,2022-05-20,0.576,0.457,0,-6.473,1,0.0304,0.143,3.05e-05,0.0917,0.301,138.984,0rzaRSujxA0bKyjJl6vHYq,218577,4
327,Boyfriends,spotify:track:6qj02zSeEJGWZ4c0dn5QzJ,72,2022-05-20,0.417,0.202,0,-10.976,1,0.0357,0.935,0.0,0.108,0.323,118.029,6qj02zSeEJGWZ4c0dn5QzJ,194544,4
328,Love Of My Life,spotify:track:1mw0RgNXIpYRyyCdBQbLgA,78,2022-05-20,0.555,0.536,7,-8.233,1,0.0452,0.669,0.0,0.0623,0.203,118.057,1mw0RgNXIpYRyyCdBQbLgA,191638,4
329,Roly Poly,spotify:track:7uqvt9TCztQgtyQZoQdjrF,55,2022-06-17,0.767,0.594,5,-12.412,1,0.0451,0.888,0.912,0.112,0.726,101.972,7uqvt9TCztQgtyQZoQdjrF,156800,4
330,Lying to Myself,spotify:track:509OiuJE6dMYeJytk3ub91,38,2020-07-31,0.605,0.784,9,-5.459,0,0.0425,0.207,0.0,0.074,0.597,122.933,509OiuJE6dMYeJytk3ub91,240297,4
331,If It Were Me,spotify:track:7lDPr3wYYKewaye3RHRXZx,37,2019-03-22,0.384,0.85,6,-8.051,0,0.0632,0.000403,0.0016,0.113,0.592,154.969,7lDPr3wYYKewaye3RHRXZx,196645,4
332,Come Out,spotify:track:3JkcPEiVQtTfS0rixsJM3e,40,2019-08-16,0.581,0.769,5,-9.472,1,0.0332,1.53e-05,0.0002,0.149,0.713,121.009,3JkcPEiVQtTfS0rixsJM3e,242000,4
333,Wet Cigarettes,spotify:track:0Zfxs7Q9QUjGaZ9yQ7kSLO,18,2020-01-02,0.535,0.387,0,-11.742,1,0.0257,0.614,0.00211,0.106,0.375,149.933,0Zfxs7Q9QUjGaZ9yQ7kSLO,173879,4
334,She Doesn’t Get It,spotify:track:1BApHcP5TM5DHAq4gyjqjx,0,2021-05-05,0.59,0.936,4,-5.226,1,0.0603,0.00751,0.00113,0.0448,0.726,156.105,1BApHcP5TM5DHAq4gyjqjx,211030,4
335,My Vibe,spotify:track:6mf82AFoXnHzIo7sOxfFcH,0,2020-04-09,0.673,0.704,6,-5.766,0,0.0339,0.493,2.04e-06,0.0732,0.578,93.547,6mf82AFoXnHzIo7sOxfFcH,157267,4
336,Big Sad,spotify:track:7epRhGT3VF7HCWBhGeJQLV,52,2019-08-30,0.634,0.784,5,-5.495,0,0.039,0.476,0.0,0.216,0.908,170.032,7epRhGT3VF7HCWBhGeJQLV,138562,4
337,Sofia...,spotify:track:6U7WBNicqDDhjebi6Wsxwv,38,2017-05-05,0.583,0.744,9,-5.439,1,0.0429,0.0583,0.000552,0.0821,0.425,124.108,6U7WBNicqDDhjebi6Wsxwv,312000,4
338,Sarah,spotify:track:25OKrC5mTrtDcsDD382vW3,36,2017-10-02,0.335,0.743,5,-6.596,1,0.21,0.00748,0.00287,0.263,0.754,138.39,25OKrC5mTrtDcsDD382vW3,180587,4
339,Chicken,spotify:track:7fPUzdTdRD8xIJUOq0uX6n,55,2018-04-01,0.572,0.759,10,-8.19,0,0.0583,0.0303,0.0,0.56,0.662,93.025,7fPUzdTdRD8xIJUOq0uX6n,207849,4
340,Grass Eater,spotify:track:08VmsF8pxSVk0cWPAGdSj2,42,2016-09-30,0.622,0.785,7,-7.018,1,0.03,0.134,3.94e-05,0.108,0.747,111.977,08VmsF8pxSVk0cWPAGdSj2,228680,4
341,Marigolds,spotify:track:6jDjdfe7npTAxfwVq2HRfr,50,2020-03-17,0.701,0.711,0,-4.193,1,0.0322,0.0504,0.0304,0.14,0.567,133.027,6jDjdfe7npTAxfwVq2HRfr,221625,4
342,Vertigo,spotify:track:74i0OhucbtBUhlM607Mp3j,46,2020-08-05,0.338,0.652,0,-8.327,1,0.0736,0.366,6.22e-05,0.12,0.193,201.944,74i0OhucbtBUhlM607Mp3j,275374,4
343,All The Wrong Reasons,spotify:track:3V9FBUf5V0OCZIHKdcNEXk,9,2022-03-25,0.738,0.695,3,-6.053,1,0.0358,0.133,0.000325,0.121,0.87,132.973,3V9FBUf5V0OCZIHKdcNEXk,186991,4
344,Selfishly,spotify:track:6ntdU2LIHt2be7Vd0WESUC,0,2021-12-30,0.488,0.445,7,-10.827,1,0.0279,0.0937,0.0,0.228,0.206,100.04,6ntdU2LIHt2be7Vd0WESUC,268818,4
345,Drought,spotify:track:5fLEXP1VOCVZihtvca0SC6,37,2018-11-19,0.706,0.542,3,-7.702,0,0.0463,0.0703,0.000585,0.107,0.963,128.122,5fLEXP1VOCVZihtvca0SC6,220822,4
346,Maybe,spotify:track:7h3C2Wy3HGBqwYLJuRYfK3,7,2020-01-01,0.477,0.79,6,-5.513,0,0.0299,0.000298,0.0041,0.107,0.433,143.972,7h3C2Wy3HGBqwYLJuRYfK3,209274,4
347,Nicotine Dream,spotify:track:0bJs66Q7uwNby1vPt8HM2E,58,2016-04-18,0.525,0.608,8,-6.03,1,0.0289,0.303,0.0,0.323,0.722,114.868,0bJs66Q7uwNby1vPt8HM2E,175304,4
348,Love Will Set You Free.,spotify:track:1uXRMDrQYWlWXwPbT2b8Es,6,2020-03-06,0.645,0.558,2,-11.899,1,0.0604,0.133,4.43e-05,0.185,0.7,132.843,1uXRMDrQYWlWXwPbT2b8Es,204495,4
349,Peach Trees,spotify:track:67yEbLR6yRvcyyJi3AIyj9,0,2019-11-08,0.501,0.899,9,-9.117,1,0.0932,0.236,9.01e-05,0.351,0.596,167.267,67yEbLR6yRvcyyJi3AIyj9,110675,4
350,Analie,spotify:track:6xlQ5j4YZ1VRFjQkzNd7zP,39,2019-10-31,0.767,0.572,8,-10.355,0,0.0365,0.0122,1.49e-06,0.0378,0.704,117.079,6xlQ5j4YZ1VRFjQkzNd7zP,239279,4
351,"We're All Dying, Want Some Juice?",spotify:track:4crA433ytRlUNM1fWXgPoU,16,2022-02-26,0.559,0.708,5,-6.479,1,0.183,0.0723,1.48e-06,0.642,0.509,160.022,4crA433ytRlUNM1fWXgPoU,193193,4
352,Wishing You the Best,spotify:track:73Vol6O5KgWU3idZM8G3Gm,12,2022-02-26,0.621,0.657,0,-6.184,1,0.111,0.184,0.0,0.206,0.481,129.94,73Vol6O5KgWU3idZM8G3Gm,228923,4
353,Holdin' on to You (Acoustic)[Live at Shock City Studios],spotify:track:2kohyA5SmyhDdBC3xOLF8J,5,2022-05-20,0.481,0.189,10,-12.487,1,0.0301,0.955,2.34e-06,0.11,0.327,89.471,2kohyA5SmyhDdBC3xOLF8J,229068,3
354,Step Mom,spotify:track:33yL9mCGvvVCjLKCZsnm1w,33,2022-07-01,0.61,0.631,5,-5.274,1,0.0403,0.013,0.0,0.086,0.505,132.02,33yL9mCGvvVCjLKCZsnm1w,214755,4
355,Old Friend,spotify:track:19d73BZ5hd8gbtNmlOnjZu,8,2020-04-19,0.638,0.21,0,-10.58,1,0.0358,0.739,0.0,0.103,0.262,119.66,19d73BZ5hd8gbtNmlOnjZu,304000,4
356,Pasta,spotify:track:76SiX7ZyXoL8CwBvVdhC24,0,2020-03-25,0.682,0.58,1,-3.812,1,0.0463,0.474,0.0,0.0891,0.515,88.807,76SiX7ZyXoL8CwBvVdhC24,177561,4
357,Asking For A Friend,spotify:track:4E8RxvSWh8xcgfPjhOimfk,27,2021-12-03,0.769,0.741,0,-4.311,0,0.0637,0.135,0.0,0.272,0.856,104.935,4E8RxvSWh8xcgfPjhOimfk,168043,4
358,Angeleyes,spotify:track:7rWgGyRK7RAqAAXy4bLft9,73,1979,0.719,0.922,11,-6.091,1,0.0338,0.523,0.000163,0.0867,0.964,133.113,7rWgGyRK7RAqAAXy4bLft9,260893,4
359,Cash In Cash Out,spotify:track:3S68RFe1lsdCdTMPIMJM3X,73,2022-06-10,0.877,0.56,7,-3.751,1,0.0596,0.00721,1.45e-06,0.0839,0.154,119.971,3S68RFe1lsdCdTMPIMJM3X,216136,4
360,So Pretty,spotify:track:1yLTcitjbEJr7a4jyDB0Lz,62,2021-01-20,0.799,0.543,10,-6.094,0,0.24,0.0512,0.0425,0.134,0.25,187.906,1yLTcitjbEJr7a4jyDB0Lz,85742,4
361,Angel Baby,spotify:track:2m6Ko3CY1qXNNja8AlugNc,76,2021-09-09,0.559,0.559,11,-6.425,1,0.0358,0.0145,0.0,0.138,0.338,72.498,2m6Ko3CY1qXNNja8AlugNc,220780,4
362,Those Eyes,spotify:track:2GThBgzZoZfz0lx1JjBwfe,67,2019-05-10,0.597,0.351,4,-8.043,1,0.0281,0.727,3.86e-05,0.319,0.243,119.948,2GThBgzZoZfz0lx1JjBwfe,220750,3
363,Closer,spotify:track:5D99O4M1PibPUD3nojZXtP,33,2020-03-27,0.703,0.309,10,-8.665,1,0.286,0.0823,3.06e-05,0.11,0.119,169.812,5D99O4M1PibPUD3nojZXtP,186497,4
364,Places We Won't Walk,spotify:track:30QNjcM3Q1GnLFIIJjWQL1,11,2017-08-31,0.388,0.0859,7,-16.061,0,0.0472,0.969,7.35e-05,0.108,0.19,88.253,30QNjcM3Q1GnLFIIJjWQL1,169410,3
365,I Got This Feeling That Won't Let Go,spotify:track:4fVC455VcIrzblTCtRrSAg,19,2022-02-26,0.726,0.599,0,-7.496,1,0.0347,0.0142,7.8e-06,0.16,0.516,104.897,4fVC455VcIrzblTCtRrSAg,260372,4
366,Glimpse of Us,spotify:track:6xGruZOHLs39ZbVccQTuPZ,85,2022-06-10,0.44,0.317,8,-9.258,1,0.0531,0.891,4.78e-06,0.141,0.268,169.914,6xGruZOHLs39ZbVccQTuPZ,233456,3
367,Life's a Dream,spotify:track:17j3lNBKOrhQSo11Rg0oe3,41,2021-12-10,0.378,0.712,4,-5.707,1,0.0352,0.109,1.05e-05,0.28,0.404,149.944,17j3lNBKOrhQSo11Rg0oe3,178705,4
368,Nothing Has Changed,spotify:track:0fDCPVKI1qbTakRBhIOOMW,54,2019-10-25,0.467,0.772,1,-5.946,1,0.0445,0.0206,0.0129,0.362,0.616,145.004,0fDCPVKI1qbTakRBhIOOMW,214204,4
369,Know Me Too Well,spotify:track:2Nn40S6ZDlqSDbIJBcXZ1f,42,2020-02-14,0.756,0.706,1,-4.384,0,0.0393,0.424,0.0,0.0635,0.799,122.925,2Nn40S6ZDlqSDbIJBcXZ1f,200600,4
370,Coffee,spotify:track:3a9cCw16YWkeOBQkCG22X9,36,2019-03-14,0.444,0.307,4,-14.076,1,0.0307,0.516,1.46e-06,0.318,0.349,160.305,3a9cCw16YWkeOBQkCG22X9,184500,3
371,Doors,spotify:track:4f9kLyMaMABuHsDhHzkRpp,0,2021-04-02,0.435,0.924,11,-5.386,0,0.0515,0.0035,0.0144,0.195,0.389,137.942,4f9kLyMaMABuHsDhHzkRpp,240870,4
372,Oh My God You Are Fine,spotify:track:6SxYYtexyolTqSbJ1DUZhT,40,2018-12-20,0.474,0.797,11,-7.368,1,0.0488,0.00268,0.0,0.0522,0.744,181.732,6SxYYtexyolTqSbJ1DUZhT,185809,4
373,Winnin',spotify:track:1vgdiKQne73DBLPp7H3nVy,2,2022-03-04,0.773,0.523,0,-6.456,1,0.0771,0.299,0.000254,0.0978,0.511,96.956,1vgdiKQne73DBLPp7H3nVy,195485,4
374,Song for Me,spotify:track:0QtWg6I0Y6WM4uoX523SH3,50,2019-01-05,0.316,0.909,10,-5.383,1,0.0613,0.0274,0.0361,0.108,0.399,102.816,0QtWg6I0Y6WM4uoX523SH3,208655,3
375,Fire,spotify:track:54zBgLqnfBvaZFmnyCJElR,0,2022-03-03,0.604,0.812,2,-5.225,1,0.0509,0.0333,6.67e-06,0.18,0.584,116.041,54zBgLqnfBvaZFmnyCJElR,233000,4
376,"good heavens, its pluto !",spotify:track:2g4gUr9tGyaLLgn9MN1dg3,10,2021-11-20,0.243,0.644,11,-7.88,1,0.0332,0.0116,1.25e-05,0.103,0.408,169.971,2g4gUr9tGyaLLgn9MN1dg3,271050,4
377,Hurt My Feelings,spotify:track:5VuJUyQa6doN53RMjjNo65,31,2022-06-10,0.73,0.688,5,-4.485,1,0.0811,0.341,0.0,0.0857,0.732,96.987,5VuJUyQa6doN53RMjjNo65,176475,4
378,Grrrls,spotify:track:7Mto5DGHzHXzF1hpsMRtYK,52,2022-06-10,0.889,0.449,0,-7.63,1,0.293,0.0313,0.0,0.0581,0.911,137.941,7Mto5DGHzHXzF1hpsMRtYK,121113,4
