,name,uri,popularity,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
175,Disaster,spotify:track:4EeZKk5DkySYzTpbUG5Y1I,1,2022-01-28,0.577,0.431,4,-7.838,1,0.0245,0.749,0.00272,0.263,0.364,98.032,4EeZKk5DkySYzTpbUG5Y1I,148163,4
176,SOUTH,spotify:track:7F6ZiSbBArjtRNz199QPIS,31,2022-05-06,0.663,0.626,5,-9.013,1,0.116,0.122,0.0115,0.126,0.251,119.116,7F6ZiSbBArjtRNz199QPIS,114000,4
177,PRETTY BOY,spotify:track:3dkwjDtWoVmbn3J5lFZt8r,41,2022-02-18,0.71,0.506,7,-11.251,1,0.039,0.594,4.22e-05,0.0896,0.804,123.391,3dkwjDtWoVmbn3J5lFZt8r,147449,4
178,skinn,spotify:track:3qYAzbufPBVq6LYPWuPYa2,47,2022-07-01,0.509,0.396,3,-9.703,1,0.0302,0.713,0.000731,0.146,0.112,131.825,3qYAzbufPBVq6LYPWuPYa2,194545,4
179,Sweater,spotify:track:3lF2lMJCNu6shqZL0SuHae,41,2022-07-01,0.47,0.825,7,-6.886,1,0.124,0.000596,0.00162,0.121,0.496,177.916,3lF2lMJCNu6shqZL0SuHae,208992,4
180,oh,spotify:track:2hAtMQpohOdcFvin75mtqw,44,2022-05-06,0.524,0.352,4,-7.525,0,0.0397,0.647,1.06e-05,0.274,0.153,106.717,2hAtMQpohOdcFvin75mtqw,215327,4
181,Oxycontin,spotify:track:4vViUcxKlm1fPjRCBOAMPt,35,2022-10-28,0.374,0.375,7,-6.848,1,0.0333,0.786,0.0,0.427,0.587,96.864,4vViUcxKlm1fPjRCBOAMPt,153600,4
182,Hypotheticals,spotify:track:3JenOF4HdWxBhP2HrOPii4,57,2022-10-28,0.592,0.315,0,-12.866,1,0.0365,0.706,0.0,0.182,0.368,77.522,3JenOF4HdWxBhP2HrOPii4,228691,4
183,Little Bit More,spotify:track:6rG1DdPCTzGibgHliYJ4ws,71,2022-10-28,0.565,0.333,7,-11.613,1,0.107,0.68,0.00109,0.111,0.301,85.786,6rG1DdPCTzGibgHliYJ4ws,180678,4
184,Lemonade (Growing Pains),spotify:track:2QGiywGobFGRn7tKChluBE,35,2022-10-28,0.696,0.649,0,-7.654,1,0.0445,0.255,0.000223,0.119,0.845,80.99,2QGiywGobFGRn7tKChluBE,176202,4
185,Let Me Be The One,spotify:track:3x8V3QRBYi2CDZYDEoH74G,28,2022-10-28,0.433,0.432,9,-6.744,1,0.0434,0.411,1.34e-06,0.128,0.259,148.709,3x8V3QRBYi2CDZYDEoH74G,217125,4
186,come and go,spotify:track:3C8CckMt6lo9aezSQQrlOJ,45,2022-10-27,0.747,0.732,0,-4.78,1,0.0358,0.233,0.0,0.0855,0.817,115.119,3C8CckMt6lo9aezSQQrlOJ,146506,4
187,i'm sorry,spotify:track:6WVcHr4xidTULfA2GJh2ZR,49,2022-10-20,0.497,0.109,9,-15.854,1,0.0452,0.919,0.0,0.181,0.371,145.168,6WVcHr4xidTULfA2GJh2ZR,224674,4
188,Queen,spotify:track:7zFXDAZ2V52022GPNYOxyH,57,2022-01-21,0.7,0.551,2,-6.89,1,0.137,0.239,0.00344,0.132,0.634,174.005,7zFXDAZ2V52022GPNYOxyH,146387,4
189,Came out of a Lady,spotify:track:4EDhPDlCB6kXwn9q9LpQ0S,42,2011-06-21,0.777,0.716,11,-6.156,1,0.0399,0.0315,0.326,0.173,0.799,118.977,4EDhPDlCB6kXwn9q9LpQ0S,273776,3
190,Count On Me,spotify:track:5sA7NCo4bHH9stpolSymvz,49,2020-02-07,0.374,0.798,2,-4.66,1,0.111,0.022,6.29e-06,0.403,0.311,152.058,5sA7NCo4bHH9stpolSymvz,160600,4
191,Honey,spotify:track:1ALH9oRd8FqjfsSH0d8Ft4,50,2022-09-14,0.673,0.686,2,-7.378,1,0.0377,0.0467,0.000179,0.111,0.497,121.951,1ALH9oRd8FqjfsSH0d8Ft4,276760,4
192,First Try,spotify:track:5V2tLRgrwtQjTrCxmYVLZ8,48,2016-10-14,0.612,0.409,7,-6.797,1,0.0292,0.519,0.0,0.0554,0.698,78.969,5V2tLRgrwtQjTrCxmYVLZ8,176632,4
193,End of It,spotify:track:2U94Nj4SVS7TNsUiObLWPm,63,2017-10-23,0.696,0.551,4,-9.955,0,0.0456,0.0131,0.0,0.0604,0.807,100.975,2U94Nj4SVS7TNsUiObLWPm,209515,4
194,Lost in the Country,spotify:track:7rT9tdSLChKQKKEcBK1cc3,29,2020-04-10,0.676,0.628,1,-7.426,1,0.0296,0.124,0.444,0.222,0.663,131.989,7rT9tdSLChKQKKEcBK1cc3,322522,4
195,"So Alright, Cool, Whatever",spotify:track:47rOmlKHPYyMDM3h6L74Sn,59,2018-06-15,0.685,0.642,0,-5.417,1,0.0372,0.0997,0.0,0.0343,0.763,130.02,47rOmlKHPYyMDM3h6L74Sn,191360,4
196,Cruise Control,spotify:track:5qIkj41jTmpff6QTp1W8j4,8,2022-08-06,0.831,0.535,8,-8.377,1,0.0346,0.666,1.48e-05,0.184,0.817,129.975,5qIkj41jTmpff6QTp1W8j4,191821,4
197,Redwood,spotify:track:08PXOzqwQS35VnP6inGd3n,11,2021-01-01,0.53,0.665,6,-7.227,1,0.0378,0.00282,8.47e-06,0.25,0.413,123.962,08PXOzqwQS35VnP6inGd3n,147787,4
198,Sometimes Love Takes So Long,spotify:track:0EJI36CptZJo8y9COiqSu4,40,2019-10-11,0.639,0.478,0,-7.966,1,0.0281,0.00161,0.00419,0.109,0.557,115.013,0EJI36CptZJo8y9COiqSu4,220984,4
199,California,spotify:track:46BuJdwxV43a6qLrICP27l,60,2013-08-02,0.251,0.656,0,-7.46,1,0.0448,0.145,0.00151,0.152,0.53,82.956,46BuJdwxV43a6qLrICP27l,222187,4
